Experience,Age,Education_Level,Job_Role,Salary
10,38,PhD,Manager,71044
9,31,Master,Manager,73973
4,47,Bachelor,Mid,25254
6,28,Master,Senior,52522
7,27,Master,Senior,65852
3,33,Bachelor,Mid,27150
4,29,PhD,Mid,38211
6,29,Bachelor,Senior,54150
10,45,PhD,Manager,99749
7,48,Master,Senior,45593
4,32,PhD,Mid,34393
6,45,Master,Senior,56720
8,23,Bachelor,Senior,61058
8,29,PhD,Senior,69876
8,23,Bachelor,Senior,54287
10,43,Master,Manager,73951
2,32,PhD,Junior,22946
6,30,PhD,Senior,44222
4,47,PhD,Mid,32976
2,37,PhD,Junior,22848
8,39,Master,Senior,41288
6,47,Bachelor,Senior,44931
6,44,Master,Senior,56044
7,46,Master,Senior,67076
8,32,Bachelor,Senior,49680
5,31,Master,Mid,32776
7,47,Bachelor,Senior,44674
3,42,Master,Mid,32982
10,50,Master,Manager,77130
7,27,Bachelor,Senior,66506
8,48,Master,Senior,44898
6,23,Bachelor,Senior,69215
9,29,PhD,Manager,79079
8,29,Bachelor,Senior,66596
10,48,Bachelor,Manager,80539
7,53,Bachelor,Senior,59609
2,28,Master,Junior,23220
2,33,Bachelor,Junior,23988
1,24,Master,Junior,23622
7,37,PhD,Senior,66443
7,43,Master,Senior,51413
8,26,Bachelor,Senior,63305
10,23,Master,Manager,97845
3,33,PhD,Mid,35354
3,45,Master,Mid,28106
3,36,Master,Mid,30335
4,51,Bachelor,Mid,28189
3,44,Master,Mid,31235
9,35,Bachelor,Manager,73449
5,29,Master,Mid,30788
1,32,Bachelor,Junior,17458
2,41,PhD,Junior,23883
5,27,Bachelor,Mid,30828
9,28,Master,Manager,97712
5,43,Master,Mid,33901
3,25,Master,Mid,35239
7,22,Master,Senior,68766
6,53,PhD,Senior,67599
6,24,Bachelor,Senior,46638
2,24,PhD,Junior,20433
5,30,Master,Mid,38836
6,47,Bachelor,Senior,59697
2,26,Master,Junior,24904
8,31,Master,Senior,57257
8,31,Bachelor,Senior,43947
8,39,Master,Senior,45968
9,36,Master,Manager,88672
1,23,Bachelor,Junior,20451
5,31,Master,Mid,26103
7,30,Bachelor,Senior,57574
8,24,Master,Senior,47901
1,32,Bachelor,Junior,21948
6,40,PhD,Senior,69101
10,29,Master,Manager,80444
6,30,Bachelor,Senior,42636
10,34,PhD,Manager,87649
10,54,PhD,Manager,80674
7,53,PhD,Senior,53332
2,33,PhD,Junior,22201
7,21,PhD,Senior,52749
4,51,PhD,Mid,35468
5,28,PhD,Mid,32599
5,41,Bachelor,Mid,35633
7,55,PhD,Senior,53089
10,39,PhD,Manager,79725
8,26,PhD,Senior,54610
8,33,Master,Senior,62224
2,53,Master,Junior,18894
